Price_num,Reviews
4.99,11442
4.99,10295
4.99,11442
4.99,10295
3.99,18247
3.99,1545
6.99,57
1.49,0
2.99,0
3.99,4
7.99,2
3.99,1546
3.99,11
5.99,21
3.99,31085
3.99,3528
4.99,6238
2.99,3771
3.49,2129
4.99,1268
2.99,2107
3.99,1026
2.99,19543
2.99,2107
2.99,18621
1.99,19922
4.99,21119
4.99,7412
4.99,18125
5.99,10795
6.99,13004
9.99,38207
4.99,9394
3.99,96
2.99,169
3.99,8
2.99,2
3.99,3328
3.99,31100
4.99,854
3.99,560
2.99,197
7.49,30
2.99,97
0.99,38
0.99,4
0.99,38
4.99,214
2.99,248
4.99,185
2.99,2195
4.99,1615
4.99,359
2.99,73
2.99,382
3.99,253
3.99,3396
2.99,73
2.99,382
3.99,253
3.99,3396
6.99,2376564
2.99,129603
9,1135
0.99,578
5.49,129
9.99,63
6.99,216
10,171
3.99,45
5.99,717
24.99,2921
11.99,1533
79.99,92
11.99,199
2.99,1361
16.99,12
3.99,15
2.99,206
9.99,395
3.99,79
14.99,15
2.99,3
3.99,35
2.99,77
1,3
29.99,51
2.99,214
2.99,104
12.99,8
4.99,45
2.99,2
14.99,80
5.99,10
3.49,156
0.99,178
2.49,576
24.99,168
10.99,25
1.99,163
24.99,3
4.99,25
3.99,319
2.99,133
7.49,9
1.5,74
2.99,3
3.99,4207
1.99,12
9.99,17
3.99,358
3.99,726
3.99,33
7.99,492
14.99,0
9.99,41
3.99,625
19.99,12
29.99,64
15.99,11
0.99,4
33.99,214
0.99,66
79.99,92
9,1135
24.99,2921
9.99,63
10,171
16.99,12
11.99,1533
29.99,51
14.99,15
74.99,10
11.99,199
6.99,216
5.49,129
14.99,80
9.99,395
33.99,214
29.99,64
24.99,168
12.99,8
39.99,6
5.99,717
2.99,206
24.99,3
19.99,12
2.99,0
0.99,2
5.99,0
0.99,0
5.99,49553
2.99,12865
5.99,49553
3.95,16320
5.99,49553
29.99,3387
2.49,97890
0.99,58617
0.99,1591
9.99,881
4.49,40704
5.99,26919
4.49,17493
1.99,2
1.49,7
1.99,291
3.99,625
1.7,83
0.99,12
1.99,24
0.99,30
2.99,2890
2.99,1531
0.99,557
0.99,408292
0.99,14026
2.99,15301
8.99,15209
4.99,1302
2.99,1
4.99,5427
5.99,76593
39.99,0
2.49,0
2,0
1.49,41
4.99,1034
1.7,59
1.49,53
2.99,5
3.88,10
0.99,89
14.99,255
1.49,25
0.99,231
25.99,0
1.49,33
5.99,6
1.99,145
3.99,9
399.99,6
17.99,4108
1.99,4140
0.99,0
0.99,61264
1.99,2
4.99,1603
1.99,16
1.99,28
5.99,21
3.99,17
6.99,2375336
2.99,184
399.99,718
400,275
2.99,2538
4.99,413
2.99,313
2.99,3570
0.99,466
2.49,133
2.99,923
0.99,169
3.99,659
2.99,4656
2.49,155
1.99,168
4.99,1475
0.99,354
1.99,925
2.49,45
0.99,4
3.02,6
6.99,324
1.99,29
1.49,0
0.99,4
1.49,230
0.99,13
1.49,5
1.49,35
1.49,0
1.49,5
0.99,1129
0.99,1
1.49,0
1.49,8
1.49,5
1.49,0
0.99,1
1.49,18
0.99,21
0.99,0
0.99,143
1.49,4
1.76,2
4.84,135
1.99,5682
1.99,7687
4.99,51068
4.77,2925
0.99,25
4.99,47
1.99,90
2.49,14
2.99,963
4.99,17988
4.99,1771
5.99,146
2.99,124
4.99,1468
1.61,131
0.99,1088
3.99,124
2.49,10249
7.99,15924
9.99,2
3.99,2506
0.99,2460
14.99,1667
1.99,11
0.99,38
1.99,1546
1.99,801
1.99,1216
1.99,149
0.99,252
0.99,161
2.99,3
0.99,56
3.99,60
1.49,18612
1.99,88
2.99,4421
1.49,201
0.99,13604
2.5,1721
5.99,24
19.99,0
1.99,2901
1.59,630
1.99,42529
9.99,130
1.49,5639
1.99,2976
2.99,1075
2.99,3005
1.99,1774
2.99,25243
3.99,100
2.99,319
0.99,204
6.49,16
1.29,66
2.99,457
0.99,30
0.99,2
0.99,4569
19.99,77
4.99,726
5,5
4.99,88
0.99,623
0.99,0
4.99,7
1.99,76
2.99,20
2.99,0
2.49,71
1.99,2975
3.99,12
4.99,1
0.99,21
0.99,5
0.99,2
0.99,4
0.99,0
0.99,0
13.99,0
4.49,1340
399.99,3547
399.99,856
299.99,411
399.99,1867
379.99,41
399.99,93
399.99,472
37.99,134
18.99,459
399.99,201
399.99,129
389.99,217
4.99,630
399.99,180
2.49,126
399.99,36
2.99,7148
2.99,19209
2.99,61
2.99,3
2.99,3
9.99,7
1.49,5
4.99,10
0.99,0
4.99,1
1.99,0
29.99,1
1.99,129409
2.99,1
0.99,20
5.99,23966
1.99,2057
2.99,73919
2.99,100805
2.99,16162
2.99,21266
2.99,27856
0.99,440
2.49,35
2.99,90
19.9,3
1.99,40
1.99,4
0.99,285
1.99,7264
0.99,127
0.99,0
0.99,2
1.99,0
0.99,0
0.99,0
4.99,484
8.49,40
3.99,31
3.99,23
1.99,36
1.49,2
1.99,1
1.49,3
2.99,0
2.99,0
2.99,172
4.49,55
3.99,25
0.99,31
1.75,5
4.99,8343
1.49,0
1.49,1
4.99,27135
11.99,6230
1.99,787
0.99,32
0.99,105
0.99,412
1.99,4724
5.99,87
2.99,275
1.49,1
9.99,20101
4.99,10440
7.99,1644
3.99,7
4.99,10758
9.99,5442
2.49,8114
4.99,7420
0.99,0
0.99,0
4.49,17
14,17
2.99,4
1.99,928
4.85,1
0.99,0
14.99,4
3.99,4
1.99,1
3.99,15
2,18
1.99,267
3.99,33
2.99,84
3.99,83
0.99,117
0.99,163
0.99,11
6.99,514
6.99,144
2.99,33661
2.99,41
2.49,13
1.99,1
46.99,2
0.99,3
2.49,6
0.99,4
2.99,10
0.99,578
0.99,178
5.99,0
5.49,515
109.99,0
3.95,16317
0.99,21804
4.49,5865
1.49,544
154.99,0
5.99,4585
0.99,3
1.49,0
3.08,47
0.99,251
2.59,1363
4.8,3
8.99,0
17.99,28
2.99,19784
3.49,265
0.99,112
2.49,97890
0.99,58614
1.49,1376
0.99,69
0.99,84114
2.99,319
4.99,21
4.99,131
0.99,22
3.99,726
4.99,5
0.99,12
0.99,5
0.99,14
0.99,11
7.99,6477
1.49,21
0.99,62
4.99,1692
2.99,1143
4.99,1
2,1
2.99,363
3.99,0
2.49,57
1.49,159
0.99,175
2.99,0
3.99,213
2.99,15
0.99,179
1.99,0
0.99,88
3.99,2
1.99,0
1.96,0
19.4,54
2.99,51110
3.99,17861
14.99,1647
3.9,1947
2.99,4928
0.99,60
2.99,453
0.99,1
0.99,0
0.99,0
6.99,348962
0.99,8
0.99,8
19.99,1
0.99,4
4.99,23802
1.99,1500
2.99,2359
0.99,12
3.99,1985
2.99,3863
3.99,20463
0.99,48754
1.99,642
2.99,412
4.99,4107
2.99,3904
2.99,1213
2.99,709
2.99,9
4.59,23
0.99,23
0.99,1
1.49,10
1.49,0
0.99,82
1.99,55
3.49,7
9.99,3
1.99,26358
2.49,26
0.99,7
0.99,2
4.49,19
9.99,2
15.46,35
0.99,3
9.99,2
6.99,12
2.49,892
4.99,244
0.99,42
1.49,6
1.49,10
4.99,166
0.99,9
1.49,12
2.99,265
0.99,341
3.99,253
1.99,12
2.49,0
1.49,1
2.49,0
2.49,94
4.99,11
4.99,654
10,171
1.99,16851
5.99,2
5.99,0
5.99,1
0.99,167
5.49,1
5.99,131
5.99,0
5.99,0
0.99,0
3.49,15753
4.99,12400
2.99,766
2.99,52
8.99,19
2.99,9
0.99,70
0.99,0
3.49,1
1.49,0
4.99,2557
4.99,0
2.99,339
3.04,1
3.99,1764
29.99,1
2.99,1
2.99,0
3.99,2
0.99,6
2.99,470
8.99,5
4.99,19
12.99,10
2.49,3
2.99,28107
2.99,315
0.99,0
2.99,6505
0.99,2
1.99,50
0.99,0
0.99,5
1.99,426
1.99,505
2.99,7
4.49,89
8.49,130
2.49,4856
19.99,7812
9.99,1661
1.99,617
2.99,9659
4.99,2576
14.99,3358
9.99,11250
13.99,8450
4.29,84
2.99,265
2.99,54
2.99,1013
1.99,2311
3.99,3397
4.99,18
4.99,76
3.99,429
2.99,1091
2.99,3725
2.99,1357
4.99,87766
12.99,21
2.6,3
3.28,1417
4.99,1
2.99,2
2.99,190086
2.99,4328
4.99,206
3.99,499
3.99,14051
4.6,116
4.99,770
0.99,56
1.49,13
2.99,416
1,552
0.99,3195
5.99,0
0.99,7
2.99,28
2.99,1
1.99,4
0.99,5
0.99,0
0.99,13
1.49,5
3.99,8
2.99,46
1.49,1763
0.99,14
5.99,0
28.99,0
0.99,32344
4.99,56444
0.99,32496
0.99,38419
0.99,0
10.99,159
14.99,47
1.99,20
9.99,2
12.99,5969
0.99,56
2.99,2
3.99,0
1.49,1880
9.99,2
2.95,3356
1.99,143
2.99,32812
1.99,48
2.9,5599
0.99,751
1.99,12
1.97,313
2.99,18652
24.99,2923
3.99,35
0.99,21
2.49,200
4.49,57076
6.99,416
4.99,15
1.99,0
2.49,1
1.99,188740
0.99,14
2.99,1516
2.99,144
1.99,0
0.99,4
3.99,11023
0.99,0
1.99,11
200,0
2.99,8014
89.99,6
2.99,81614
2.99,58
4.99,1719
2.56,39
0.99,444
30.99,0
3.61,0
394.99,0
1.26,3
5.99,238
399.99,0
2.99,43045
0.99,1330
9.99,13752
0.99,9699
2.49,28728
1.99,1090
0.99,2645
4.99,168
1.49,223
4.99,33
4.99,257
4.99,164
4.99,138
4.99,130
1.99,1
0.99,15
0.99,21
3.99,5474
1.49,5
2.99,936
1.99,2
1.99,615
2.99,197
0.99,481
7.99,112
2.99,201
2.99,85
1.99,15
1,142
1.49,1
3.49,12700
2.99,67
1.99,60
6.99,30
0.99,656
1.99,340
8.99,11460
5.49,1
6.49,1
5.99,1
6.49,1
6.49,1
6.49,0
5.99,2
5.49,0
0.99,6
2.99,11235
0.99,85468
0.99,5
0.99,2
0.99,17
7.99,35
16.99,252
1.2,1405
1.04,0
